loss,mape,val_loss,val_mape
0.06484400480985641,265102.375,0.06289926916360855,122.76966094970703
0.05308236554265022,208125.546875,0.0348285473883152,273.3360290527344
0.043896015733480453,226150.265625,0.04074015095829964,90.24238586425781
0.035342004150152206,192482.515625,0.014313413761556149,157.41737365722656
0.028129229322075844,158221.328125,0.025372132658958435,57.72362518310547
0.023274118080735207,81029.6875,0.01576768048107624,116.90259552001953
0.01913386583328247,85538.2109375,0.014749472960829735,43.169837951660156
0.018848009407520294,75413.5078125,0.010339450091123581,78.0964126586914
0.016669288277626038,54099.4296875,0.00793448742479086,37.03939437866211
0.014743292704224586,59629.62890625,0.00885520875453949,67.2402572631836
0.013551078736782074,69236.2421875,0.01199353113770485,37.33481216430664
0.013233033940196037,35773.671875,0.00879143737256527,65.71521759033203
0.012723048217594624,39686.3515625,0.005784131586551666,36.063289642333984
0.011255563236773014,42117.7734375,0.007302526384592056,62.22002410888672
0.010132145136594772,67047.671875,0.006354765500873327,35.76801300048828
0.01000770553946495,47538.84375,0.007174952886998653,62.206016540527344
0.009167208336293697,58924.29296875,0.006534974090754986,36.07725143432617
0.008374159224331379,50897.2734375,0.004515498876571655,49.677005767822266
0.008599911816418171,58373.8671875,0.006244563963264227,35.97794723510742
0.00802488811314106,42358.53515625,0.005184022244066,53.92850875854492
0.007608208805322647,62227.55078125,0.008197970688343048,35.84500503540039
0.00737500237300992,56306.2265625,0.00543693033978343,54.41315460205078
0.0073546674102544785,64130.86328125,0.007258974015712738,35.14714813232422
0.006249056663364172,46655.6484375,0.005008234642446041,52.23788070678711
0.006773190572857857,50491.8125,0.005821701139211655,34.625850677490234
0.006540624890476465,61059.65234375,0.004382343962788582,49.460514068603516
0.005862927529960871,50784.140625,0.004031425341963768,46.85981750488281
0.005841527599841356,60159.609375,0.006558414548635483,34.43626022338867
0.0054491194896399975,59103.50390625,0.003998429048806429,45.943756103515625
0.0055192881263792515,46593.7109375,0.003848101943731308,45.06341552734375
0.005476974416524172,59981.9140625,0.005281179212033749,33.531742095947266
0.0050749871879816055,48022.87109375,0.0036472384817898273,34.1739387512207
0.005480147898197174,57689.31640625,0.003910904284566641,45.414554595947266
0.0051627685315907,53444.0234375,0.003925926052033901,33.43223571777344
0.004969434812664986,43497.7578125,0.004083101637661457,45.452430725097656
0.004784340970218182,43813.44921875,0.003247275250032544,39.249568939208984
0.004869131837040186,53944.8359375,0.003927283454686403,44.27043533325195
0.004755710251629353,52705.421875,0.004692519083619118,31.64251708984375
0.004782930947840214,53555.06640625,0.0032189725898206234,38.22044372558594
0.0045148818753659725,40080.015625,0.005280046258121729,49.78507614135742
0.00464148074388504,48071.484375,0.003961828537285328,43.12957763671875
0.004454637877643108,56090.27734375,0.0031457089353352785,36.97783279418945
